layout_id,layout_code,experiment,plate_size,comment
576,PP10047558,SiteSaturation,384,
580,PEPS0000036,PreTest,384,It's from a Pre-experiment with KRED or IRED WT
104,PEPS0000091,unknown,384,
884,PP10048573,Concentration range finding 5 mM,384,
887,PP10048728,Concentration range finding 40 mM,384,
1048,PP10048939,cherrypicking for ms and chiral confirmation for ML2,96,
1049,PP10048938,cherrypicking for ms and chiral confirmation for ML2,96,
1050,PP10048940,cherrypicking for ms and chiral confirmation for ML2,96,
1052,PP10048941,cherrypicking for ms and chiral confirmation for ML2,96,
1054,PP10048941,cherrypicking for ms and chiral confirmation for ML2,96,
124,PEPS0000037,SiteSaturation,384,
178,PEPS0000038,SiteSaturation,384,
159,PEPS0000039,SiteSaturation,384,
122,PEPS0000040,SiteSaturation,384,
131,PEPS0000041,SiteSaturation,384,
154,PEPS0000042,SiteSaturation,384,
169,PEPS0000043,SiteSaturation,384,
138,PEPS0000044,SiteSaturation,384,
118,PEPS0000045,SiteSaturation,384,
185,PEPS0000046,SiteSaturation,384,
183,PEPS0000048,SiteSaturation,384,
163,PEPS0000049,SiteSaturation,384,
114,PEPS0000050,SiteSaturation,384,
174,PEPS0000051,SiteSaturation,384,
166,PEPS0000052,SiteSaturation,384,
194,PEPS0000053,PreTest,384,
128,PEPS0000059,SiteSaturation,384,
175,PEPS0000060,SiteSaturation,384,
116,PEPS0000061,SiteSaturation,384,
190,PEPS0000062,SiteSaturation,384,
197,PEPS0000063,SiteSaturation,384,
198,PEPS0000064,SiteSaturation,384,
142,PEPS0000065,SiteSaturation,384,
111,PEPS0000066,SiteSaturation,384,
109,PEPS0000067,SiteSaturation,384,
195,PEPS0000068,SiteSaturation,384,
177,PEPS0000069,SiteSaturation,384,
188,PEPS0000070,SiteSaturation,384,
135,PEPS0000071,SiteSaturation,384,
164,PEPS0000072,SiteSaturation,384,
117,PEPS0000073,SiteSaturation,384,
133,PEPS0000074,SiteSaturation,384,
146,PEPS0000075,SiteSaturation,384,
127,PEPS0000076,SiteSaturation,384,
144,PEPS0000077,SiteSaturation,384,
172,PEPS0000078,SiteSaturation,384,
